question,answer,type
What is the title of the attraction?,Ethno-memorial complex «Atameken».,0
What is the name of the attraction?,Ethno-memorial complex «Atameken».,0
The attraction has a title.,Ethno-memorial complex «Atameken».,0
What is the attraction's title?,Ethno-memorial complex «Atameken».,0
What is the attraction's name?,Ethno-memorial complex «Atameken».,0
What is the attraction's address?,"The attraction's address is Астана, Коргалжинское шоссе, 2/1.",0
What is the address of the attraction?,"The attraction's address is Астана, Коргалжинское шоссе, 2/1.",0
What is the location of the attraction?,"The attraction's address is Астана, Коргалжинское шоссе, 2/1.",0
What is the attraction's location?,"The attraction's address is Астана, Коргалжинское шоссе, 2/1.",0
The attraction's address is not known.,"The attraction's address is Астана, Коргалжинское шоссе, 2/1.",0
The attraction has a phone number.,+7 (7172) 79-04-39.,0
What is the phone number of the attraction?,+7 (7172) 79-04-39.,0
What is the phone number for the attraction?,+7 (7172) 79-04-39.,0
The attraction's phone number is unknown.,+7 (7172) 79-04-39.,0
The phone number of the attraction is unknown.,+7 (7172) 79-04-39.,0
What is the link to the attraction's website?,https://astana.citypass.kz/en/2018/07/17/etno-memorialnyiy-kompleks-atameken/,0
The attraction's website has a link to it.,https://astana.citypass.kz/en/2018/07/17/etno-memorialnyiy-kompleks-atameken/,0
The attraction's website has a link.,https://astana.citypass.kz/en/2018/07/17/etno-memorialnyiy-kompleks-atameken/,0
There is a link to the attraction's website.,https://astana.citypass.kz/en/2018/07/17/etno-memorialnyiy-kompleks-atameken/,0
The attraction's webpage has a link.,https://astana.citypass.kz/en/2018/07/17/etno-memorialnyiy-kompleks-atameken/,0
When did the ethno-memorial complex open?,"The ethno-memorial complex 'Atameken' was opened on September 8, 2001.",0
When was the ethno-memorial complex opened?,"The ethno-memorial complex 'Atameken' was opened on September 8, 2001.",0
The ethno-memorial complex 'Atameken' was opened.,"The ethno-memorial complex 'Atameken' was opened on September 8, 2001.",0
The 'Atameken' ethno-memorial complex was opened.,"The ethno-memorial complex 'Atameken' was opened on September 8, 2001.",0
When was the ethno-memorial complex open?,"The ethno-memorial complex 'Atameken' was opened on September 8, 2001.",0
The opening of the ethno-memorial complex was initiated by someone.,The opening of the ethno-memorial complex 'Atameken' was initiated by the first President of the Republic of Kazakhstan N. A. Nazarbayev.,0
The opening of the ethno-memorial complex was initiated.,The opening of the ethno-memorial complex 'Atameken' was initiated by the first President of the Republic of Kazakhstan N. A. Nazarbayev.,0
The opening of the ethno-memorial complex 'Atameken' was initiated.,The opening of the ethno-memorial complex 'Atameken' was initiated by the first President of the Republic of Kazakhstan N. A. Nazarbayev.,0
The opening of the ethno-memorial complex 'Atameken' was initiated by someone.,The opening of the ethno-memorial complex 'Atameken' was initiated by the first President of the Republic of Kazakhstan N. A. Nazarbayev.,0
The opening of the 'Atameken' ethno-memorial complex was initiated.,The opening of the ethno-memorial complex 'Atameken' was initiated by the first President of the Republic of Kazakhstan N. A. Nazarbayev.,0
What is the purpose of the map of a country?,"The objective of the Map of Kazakhstan 'Atameken' is to ensure the safety, availability, and involvement of the population in historical, cultural, and spiritual values, as well as to propagate the achievements of Kazakh culture.",0
What is the purpose of the map of the country?,"The objective of the Map of Kazakhstan 'Atameken' is to ensure the safety, availability, and involvement of the population in historical, cultural, and spiritual values, as well as to propagate the achievements of Kazakh culture.",0
What is the aim of the map of the country?,"The objective of the Map of Kazakhstan 'Atameken' is to ensure the safety, availability, and involvement of the population in historical, cultural, and spiritual values, as well as to propagate the achievements of Kazakh culture.",0
What is the goal of the map of the country?,"The objective of the Map of Kazakhstan 'Atameken' is to ensure the safety, availability, and involvement of the population in historical, cultural, and spiritual values, as well as to propagate the achievements of Kazakh culture.",0
What is the purpose of the map of the country of Atameken?,"The objective of the Map of Kazakhstan 'Atameken' is to ensure the safety, availability, and involvement of the population in historical, cultural, and spiritual values, as well as to propagate the achievements of Kazakh culture.",0
The educational and artistic complex 'Map of Kazakhstan 'Atameken' introduces visitors to something.,The educational and artistic complex 'Map of Kazakhstan 'Atameken'' introduces visitors to the history of the state and the culture of its peoples.,0
Visitors to the educational and artistic complex 'Map of Kazakhstan 'Atameken' are introduced to something.,The educational and artistic complex 'Map of Kazakhstan 'Atameken'' introduces visitors to the history of the state and the culture of its peoples.,0
Visitors to the educational and artistic complex 'Map of Kazakhstan'Atameken' are introduced to something.,The educational and artistic complex 'Map of Kazakhstan 'Atameken'' introduces visitors to the history of the state and the culture of its peoples.,0
The educational and artistic complex 'Map of Kazakhstan 'Atameken' introduces visitors to it.,The educational and artistic complex 'Map of Kazakhstan 'Atameken'' introduces visitors to the history of the state and the culture of its peoples.,0
Visitors to the educational and artistic complex 'Map of Kazakhstan 'Atameken' are introduced to it.,The educational and artistic complex 'Map of Kazakhstan 'Atameken'' introduces visitors to the history of the state and the culture of its peoples.,0
What are the components of the complex?,"The symbolic ensemble of the complex includes stylized mountains, hills, steppes, forests, lakes, and symbolically designated major cities.",0
What are the components of the complex's symbolic ensemble?,"The symbolic ensemble of the complex includes stylized mountains, hills, steppes, forests, lakes, and symbolically designated major cities.",0
What are the components that make up the complex?,"The symbolic ensemble of the complex includes stylized mountains, hills, steppes, forests, lakes, and symbolically designated major cities.",0
What are the components that make up the symbolic ensemble?,"The symbolic ensemble of the complex includes stylized mountains, hills, steppes, forests, lakes, and symbolically designated major cities.",0
The symbolic ensemble of the complex has components.,"The symbolic ensemble of the complex includes stylized mountains, hills, steppes, forests, lakes, and symbolically designated major cities.",0
There is an interesting part in the map.,An interesting part of the Map of Kazakhstan 'Atameken' is a decorative model of the Caspian Sea.,0
There is an interesting part in the map of a country.,An interesting part of the Map of Kazakhstan 'Atameken' is a decorative model of the Caspian Sea.,0
There is an interesting part in the map of Kazakhstan.,An interesting part of the Map of Kazakhstan 'Atameken' is a decorative model of the Caspian Sea.,0
There is an interesting part in the Map of Kazakhstan.,An interesting part of the Map of Kazakhstan 'Atameken' is a decorative model of the Caspian Sea.,0
There is an interesting part in the map of the country.,An interesting part of the Map of Kazakhstan 'Atameken' is a decorative model of the Caspian Sea.,0
What is the price for a tour in a foreign language?,The price for a tour in Kazakh language is 200 tenge.,0
What is the price for a tour in the country?,The price for a tour in Kazakh language is 200 tenge.,0
What is the price for a tour in a foreign land?,The price for a tour in Kazakh language is 200 tenge.,0
What is the cost for a tour in the country?,The price for a tour in Kazakh language is 200 tenge.,0
What is the price for a tour in a foreign country?,The price for a tour in Kazakh language is 200 tenge.,0
How much is it for a tour in Russian?,The price for a tour in Russian language is 200 tenge.,0
What is the price for a tour in Russia?,The price for a tour in Russian language is 200 tenge.,0
What is the cost for a tour in Russia?,The price for a tour in Russian language is 200 tenge.,0
What is the cost for a tour in Russian?,The price for a tour in Russian language is 200 tenge.,0
What is the cost of a tour in Russian?,The price for a tour in Russian language is 200 tenge.,0
What is the cost for a tour in English?,The price for a tour in English language is 500 tenge.,0
What is the cost of a tour in English?,The price for a tour in English language is 500 tenge.,0
How much is a tour in English?,The price for a tour in English language is 500 tenge.,0
The price for a tour in English is unknown.,The price for a tour in English language is 500 tenge.,0
The price for a tour in English is not known.,The price for a tour in English language is 500 tenge.,0
What is the price for a camera?,The price for photography is 300 tenge.,0
What is the cost for a camera?,The price for photography is 300 tenge.,0
How much is the price for a camera?,The price for photography is 300 tenge.,0
What is the cost of a camera?,The price for photography is 300 tenge.,0
How much is the price for photography?,The price for photography is 300 tenge.,0
Who can enter the complex for free?,Participants and invalids of the Second World War can enter the complex for free and out of turn upon presentation of supporting documents.,0
Who can enter the complex without paying?,Participants and invalids of the Second World War can enter the complex for free and out of turn upon presentation of supporting documents.,0
Who can enter the complex free of charge?,Participants and invalids of the Second World War can enter the complex for free and out of turn upon presentation of supporting documents.,0
Who can enter the complex for nothing?,Participants and invalids of the Second World War can enter the complex for free and out of turn upon presentation of supporting documents.,0
Who can enter for free?,Participants and invalids of the Second World War can enter the complex for free and out of turn upon presentation of supporting documents.,0
Who can enter the complex for free?,"Disabled people of group I, II, and children with disabilities under 18 years of age can enter the complex for free upon presentation of supporting documents.",0
Who else can enter for free?,"Disabled people of group I, II, and children with disabilities under 18 years of age can enter the complex for free upon presentation of supporting documents.",0
Who else can enter the complex for free?,"Disabled people of group I, II, and children with disabilities under 18 years of age can enter the complex for free upon presentation of supporting documents.",0
Who can enter for free?,"Disabled people of group I, II, and children with disabilities under 18 years of age can enter the complex for free upon presentation of supporting documents.",0
The complex can be entered for free.,"Disabled people of group I, II, and children with disabilities under 18 years of age can enter the complex for free upon presentation of supporting documents.",0
The disabled people of group III are given a discount.,Disabled people of group III get a 50% discount from the entrance ticket price upon presentation of supporting documents.,0
What discount do people with disabilities get?,Disabled people of group III get a 50% discount from the entrance ticket price upon presentation of supporting documents.,0
The disabled people of group III get a discount.,Disabled people of group III get a 50% discount from the entrance ticket price upon presentation of supporting documents.,0
The people of group III have a discount.,Disabled people of group III get a 50% discount from the entrance ticket price upon presentation of supporting documents.,0
What discount do the people in group III get?,Disabled people of group III get a 50% discount from the entrance ticket price upon presentation of supporting documents.,0
Who can enter the complex for free?,Orphans and children left without parental care who have not reached the age of 18 can enter the complex for free upon presentation of supporting documents.,0
Who else can enter for free?,Orphans and children left without parental care who have not reached the age of 18 can enter the complex for free upon presentation of supporting documents.,0
Who else can enter the complex for free?,Orphans and children left without parental care who have not reached the age of 18 can enter the complex for free upon presentation of supporting documents.,0
Who can enter for free?,Orphans and children left without parental care who have not reached the age of 18 can enter the complex for free upon presentation of supporting documents.,0
The complex can be entered for free.,Orphans and children left without parental care who have not reached the age of 18 can enter the complex for free upon presentation of supporting documents.,0
There is an age limit for free entrance.,Children under 5 (five) years old can enter the complex for free upon presentation of supporting documents.,0
The age limit for free entrance is unknown.,Children under 5 (five) years old can enter the complex for free upon presentation of supporting documents.,0
The age limit for free entrance is not known.,Children under 5 (five) years old can enter the complex for free upon presentation of supporting documents.,0
How old is the age limit for free entrance?,Children under 5 (five) years old can enter the complex for free upon presentation of supporting documents.,0
What is the age limit for free entrance?,Children under 5 (five) years old can enter the complex for free upon presentation of supporting documents.,0
What is the title of the attraction?,«Nur-Alem» Future Energy Museum (EXPO).,1
What is the name of the attraction?,«Nur-Alem» Future Energy Museum (EXPO).,1
The attraction has a title.,«Nur-Alem» Future Energy Museum (EXPO).,1
What is the attraction's title?,«Nur-Alem» Future Energy Museum (EXPO).,1
What is the attraction's name?,«Nur-Alem» Future Energy Museum (EXPO).,1
What is the attraction's address?,"Астана, Орынбор , 55.",1
What is the address of the attraction?,"Астана, Орынбор , 55.",1
What is the location of the attraction?,"Астана, Орынбор , 55.",1
What is the attraction's location?,"Астана, Орынбор , 55.",1
The attraction's address is not known.,"Астана, Орынбор , 55.",1
The attraction has a phone number.,+7 (7172) 79-04-39.,1
What is the phone number of the attraction?,+7 (7172) 79-04-39.,1
What is the phone number for the attraction?,+7 (7172) 79-04-39.,1
The attraction's phone number is unknown.,+7 (7172) 79-04-39.,1
The phone number of the attraction is unknown.,+7 (7172) 79-04-39.,1
What is the link to the attraction's website?,https://astana.citypass.kz/en/2017/11/24/obektyi-naslediya-ekspo/,1
The attraction's website has a link to it.,https://astana.citypass.kz/en/2017/11/24/obektyi-naslediya-ekspo/,1
The attraction's website has a link.,https://astana.citypass.kz/en/2017/11/24/obektyi-naslediya-ekspo/,1
There is a link to the attraction's website.,https://astana.citypass.kz/en/2017/11/24/obektyi-naslediya-ekspo/,1
The attraction's webpage has a link.,https://astana.citypass.kz/en/2017/11/24/obektyi-naslediya-ekspo/,1
What is the main symbol?,"The main symbol of EXPO Nur-Sultan is Nur-Alem, a giant spherical building with a diameter of 80 meters.",1
What is the main symbol of the event?,"The main symbol of EXPO Nur-Sultan is Nur-Alem, a giant spherical building with a diameter of 80 meters.",1
What is the main symbol of the expo?,"The main symbol of EXPO Nur-Sultan is Nur-Alem, a giant spherical building with a diameter of 80 meters.",1
What is the main symbol of the exposition?,"The main symbol of EXPO Nur-Sultan is Nur-Alem, a giant spherical building with a diameter of 80 meters.",1
What is the main symbol of the convention?,"The main symbol of EXPO Nur-Sultan is Nur-Alem, a giant spherical building with a diameter of 80 meters.",1
What are on top of the building?,Two wind generators are located on top of the spherical building.,1
What is on top of the building?,Two wind generators are located on top of the spherical building.,1
