question,answer,type
What is the title of the attraction?,Ethno-memorial complex «Atameken».,0
What is the name of the attraction?,Ethno-memorial complex «Atameken».,0
The attraction has a title.,Ethno-memorial complex «Atameken».,0
What is the attraction's title?,Ethno-memorial complex «Atameken».,0
What's the title of the attraction?,Ethno-memorial complex «Atameken».,0
What is the title of an attraction?,Ethno-memorial complex «Atameken».,0
What is the attraction's name?,Ethno-memorial complex «Atameken».,0
The attraction's title is not known.,Ethno-memorial complex «Atameken».,0
What is it called?,Ethno-memorial complex «Atameken».,0
The attraction title is not known.,Ethno-memorial complex «Atameken».,0
Where is the attraction located?,"The attraction is located at Астана, Коргалжинское шоссе, 2/1.",0
What is the location of the attraction?,"The attraction is located at Астана, Коргалжинское шоссе, 2/1.",0
Where is it located?,"The attraction is located at Астана, Коргалжинское шоссе, 2/1.",0
Where is the attraction?,"The attraction is located at Астана, Коргалжинское шоссе, 2/1.",0
What location is the attraction located?,"The attraction is located at Астана, Коргалжинское шоссе, 2/1.",0
The attraction is located somewhere.,"The attraction is located at Астана, Коргалжинское шоссе, 2/1.",0
What is the location of the attraction.,"The attraction is located at Астана, Коргалжинское шоссе, 2/1.",0
The attraction is located where?,"The attraction is located at Астана, Коргалжинское шоссе, 2/1.",0
Where is the attraction located.,"The attraction is located at Астана, Коргалжинское шоссе, 2/1.",0
The attraction is located where.,"The attraction is located at Астана, Коргалжинское шоссе, 2/1.",0
The attraction has a phone number.,+7 (7172) 79-04-39.,0
What is the phone number of the attraction?,+7 (7172) 79-04-39.,0
What is the phone number for the attraction?,+7 (7172) 79-04-39.,0
The attraction's phone number is unknown.,+7 (7172) 79-04-39.,0
What is the location of the attraction?,+7 (7172) 79-04-39.,0
The phone number is listed on the attraction's website.,+7 (7172) 79-04-39.,0
The phone number of the attraction is unknown.,+7 (7172) 79-04-39.,0
The attraction's phone number is listed on its website.,+7 (7172) 79-04-39.,0
The phone number of the attraction.,+7 (7172) 79-04-39.,0
What is the number of the attraction?,+7 (7172) 79-04-39.,0
What is the link to the attraction's website?,https://astana.citypass.kz/en/2018/07/17/etno-memorialnyiy-kompleks-atameken/,0
The attraction's website has a link to it.,https://astana.citypass.kz/en/2018/07/17/etno-memorialnyiy-kompleks-atameken/,0
The attraction's website has a link.,https://astana.citypass.kz/en/2018/07/17/etno-memorialnyiy-kompleks-atameken/,0
There is a link to the attraction's website.,https://astana.citypass.kz/en/2018/07/17/etno-memorialnyiy-kompleks-atameken/,0
What's the link to the attraction's website?,https://astana.citypass.kz/en/2018/07/17/etno-memorialnyiy-kompleks-atameken/,0
The attraction's webpage has a link to it.,https://astana.citypass.kz/en/2018/07/17/etno-memorialnyiy-kompleks-atameken/,0
Is there a link to the attraction's website?,https://astana.citypass.kz/en/2018/07/17/etno-memorialnyiy-kompleks-atameken/,0
The attraction's webpage has a link.,https://astana.citypass.kz/en/2018/07/17/etno-memorialnyiy-kompleks-atameken/,0
What is the link to the attraction's page?,https://astana.citypass.kz/en/2018/07/17/etno-memorialnyiy-kompleks-atameken/,0
What is the link to the attraction?,https://astana.citypass.kz/en/2018/07/17/etno-memorialnyiy-kompleks-atameken/,0
When did the ethno-memorial complex open?,"The ethno-memorial complex 'Atameken' was opened on September 8, 2001.",0
When was the ethno-memorial complex opened?,"The ethno-memorial complex 'Atameken' was opened on September 8, 2001.",0
The ethno-memorial complex 'Atameken' was opened.,"The ethno-memorial complex 'Atameken' was opened on September 8, 2001.",0
The 'Atameken' ethno-memorial complex was opened.,"The ethno-memorial complex 'Atameken' was opened on September 8, 2001.",0
When was the ethno-memorial complex open?,"The ethno-memorial complex 'Atameken' was opened on September 8, 2001.",0
The ethno-memorial complex 'Atameken' opened.,"The ethno-memorial complex 'Atameken' was opened on September 8, 2001.",0
The ethno-memorial complex opened.,"The ethno-memorial complex 'Atameken' was opened on September 8, 2001.",0
When was the 'Atameken' complex opened?,"The ethno-memorial complex 'Atameken' was opened on September 8, 2001.",0
When did the 'Atameken' complex open?,"The ethno-memorial complex 'Atameken' was opened on September 8, 2001.",0
The 'Atameken' ethno-memorial complex opened.,"The ethno-memorial complex 'Atameken' was opened on September 8, 2001.",0
The opening of the ethno-memorial complex was initiated by someone.,The opening of the ethno-memorial complex 'Atameken' was initiated by the first President of the Republic of Kazakhstan N. A. Nazarbayev.,0
The opening of the ethno-memorial complex was initiated.,The opening of the ethno-memorial complex 'Atameken' was initiated by the first President of the Republic of Kazakhstan N. A. Nazarbayev.,0
The opening of the ethno-memorial complex 'Atameken' was initiated.,The opening of the ethno-memorial complex 'Atameken' was initiated by the first President of the Republic of Kazakhstan N. A. Nazarbayev.,0
The opening of the ethno-memorial complex 'Atameken' was initiated by someone.,The opening of the ethno-memorial complex 'Atameken' was initiated by the first President of the Republic of Kazakhstan N. A. Nazarbayev.,0
The ethno-memorial complex 'Atameken' was opened.,The opening of the ethno-memorial complex 'Atameken' was initiated by the first President of the Republic of Kazakhstan N. A. Nazarbayev.,0
Who opened the ethno-memorial complex 'Atameken'?,The opening of the ethno-memorial complex 'Atameken' was initiated by the first President of the Republic of Kazakhstan N. A. Nazarbayev.,0
Who opened the ethno-memorial complex?,The opening of the ethno-memorial complex 'Atameken' was initiated by the first President of the Republic of Kazakhstan N. A. Nazarbayev.,0
The opening of the 'Atameken' ethno-memorial complex was initiated.,The opening of the ethno-memorial complex 'Atameken' was initiated by the first President of the Republic of Kazakhstan N. A. Nazarbayev.,0
The opening of the 'Atameken' was initiated by someone.,The opening of the ethno-memorial complex 'Atameken' was initiated by the first President of the Republic of Kazakhstan N. A. Nazarbayev.,0
The opening of the 'Atameken' ethno-memorial complex was initiated by someone.,The opening of the ethno-memorial complex 'Atameken' was initiated by the first President of the Republic of Kazakhstan N. A. Nazarbayev.,0
What is the purpose of the map?,"The objective of the Map of Kazakhstan 'Atameken' is to ensure the safety, availability, and involvement of the population in historical, cultural, and spiritual values, as well as to propagate the achievements of Kazakh culture.",0
What is the goal of the map?,"The objective of the Map of Kazakhstan 'Atameken' is to ensure the safety, availability, and involvement of the population in historical, cultural, and spiritual values, as well as to propagate the achievements of Kazakh culture.",0
What is the aim of the map?,"The objective of the Map of Kazakhstan 'Atameken' is to ensure the safety, availability, and involvement of the population in historical, cultural, and spiritual values, as well as to propagate the achievements of Kazakh culture.",0
What is the purpose of the map of a country?,"The objective of the Map of Kazakhstan 'Atameken' is to ensure the safety, availability, and involvement of the population in historical, cultural, and spiritual values, as well as to propagate the achievements of Kazakh culture.",0
What is the purpose of the map of Kazakhstan?,"The objective of the Map of Kazakhstan 'Atameken' is to ensure the safety, availability, and involvement of the population in historical, cultural, and spiritual values, as well as to propagate the achievements of Kazakh culture.",0
What is the purpose of the map of the country?,"The objective of the Map of Kazakhstan 'Atameken' is to ensure the safety, availability, and involvement of the population in historical, cultural, and spiritual values, as well as to propagate the achievements of Kazakh culture.",0
What is the aim of the map of the country?,"The objective of the Map of Kazakhstan 'Atameken' is to ensure the safety, availability, and involvement of the population in historical, cultural, and spiritual values, as well as to propagate the achievements of Kazakh culture.",0
What is the objective of the map of the country?,"The objective of the Map of Kazakhstan 'Atameken' is to ensure the safety, availability, and involvement of the population in historical, cultural, and spiritual values, as well as to propagate the achievements of Kazakh culture.",0
What is the goal of the map of the country?,"The objective of the Map of Kazakhstan 'Atameken' is to ensure the safety, availability, and involvement of the population in historical, cultural, and spiritual values, as well as to propagate the achievements of Kazakh culture.",0
What is the purpose of the map of the country of Atameken?,"The objective of the Map of Kazakhstan 'Atameken' is to ensure the safety, availability, and involvement of the population in historical, cultural, and spiritual values, as well as to propagate the achievements of Kazakh culture.",0
The educational and artistic complex 'Map of Kazakhstan 'Atameken' introduces visitors to something.,The educational and artistic complex 'Map of Kazakhstan 'Atameken'' introduces visitors to the history of the state and the culture of its peoples.,0
Visitors to the educational and artistic complex 'Map of Kazakhstan 'Atameken' are introduced to something.,The educational and artistic complex 'Map of Kazakhstan 'Atameken'' introduces visitors to the history of the state and the culture of its peoples.,0
Visitors to the educational and artistic complex 'Map of Kazakhstan'Atameken' are introduced to something.,The educational and artistic complex 'Map of Kazakhstan 'Atameken'' introduces visitors to the history of the state and the culture of its peoples.,0
The educational and artistic complex 'Map of Kazakhstan'Atameken' introduces visitors to something.,The educational and artistic complex 'Map of Kazakhstan 'Atameken'' introduces visitors to the history of the state and the culture of its peoples.,0
The educational and artistic complex 'Map of Kazakhstan 'Atameken' introduces visitors to it.,The educational and artistic complex 'Map of Kazakhstan 'Atameken'' introduces visitors to the history of the state and the culture of its peoples.,0
The educational and artistic complex 'Map of Kazakhstan'Atameken' introduces visitors to it.,The educational and artistic complex 'Map of Kazakhstan 'Atameken'' introduces visitors to the history of the state and the culture of its peoples.,0
Visitors are introduced to the educational and artistic complex 'Map of Kazakhstan 'Atameken'.,The educational and artistic complex 'Map of Kazakhstan 'Atameken'' introduces visitors to the history of the state and the culture of its peoples.,0
Visitors to the educational and artistic complex 'Map of Kazakhstan 'Atameken' are introduced to it.,The educational and artistic complex 'Map of Kazakhstan 'Atameken'' introduces visitors to the history of the state and the culture of its peoples.,0
The educational and artistic complex 'Map of Kazakhstan 'Atameken' introduces visitors to it's contents.,The educational and artistic complex 'Map of Kazakhstan 'Atameken'' introduces visitors to the history of the state and the culture of its peoples.,0
The educational and artistic complex 'Map of Kazakhstan 'Atameken' introduces visitors to themselves.,The educational and artistic complex 'Map of Kazakhstan 'Atameken'' introduces visitors to the history of the state and the culture of its peoples.,0
What are the components of the complex?,"The symbolic ensemble of the complex includes stylized mountains, hills, steppes, forests, lakes, and symbolically designated major cities.",0
What is the symbolic ensemble of the complex?,"The symbolic ensemble of the complex includes stylized mountains, hills, steppes, forests, lakes, and symbolically designated major cities.",0
What are the components of the complex's symbolic ensemble?,"The symbolic ensemble of the complex includes stylized mountains, hills, steppes, forests, lakes, and symbolically designated major cities.",0
What are the components that make up the complex?,"The symbolic ensemble of the complex includes stylized mountains, hills, steppes, forests, lakes, and symbolically designated major cities.",0
What are the components that make up the symbolic ensemble?,"The symbolic ensemble of the complex includes stylized mountains, hills, steppes, forests, lakes, and symbolically designated major cities.",0
What are some of the components of the complex?,"The symbolic ensemble of the complex includes stylized mountains, hills, steppes, forests, lakes, and symbolically designated major cities.",0
The symbolic ensemble of the complex has components.,"The symbolic ensemble of the complex includes stylized mountains, hills, steppes, forests, lakes, and symbolically designated major cities.",0
What parts of the complex are symbolic?,"The symbolic ensemble of the complex includes stylized mountains, hills, steppes, forests, lakes, and symbolically designated major cities.",0
What are the components of the complex symbolic ensemble?,"The symbolic ensemble of the complex includes stylized mountains, hills, steppes, forests, lakes, and symbolically designated major cities.",0
What are the components of the symbolic ensemble?,"The symbolic ensemble of the complex includes stylized mountains, hills, steppes, forests, lakes, and symbolically designated major cities.",0
There is an interesting part in the map.,An interesting part of the Map of Kazakhstan 'Atameken' is a decorative model of the Caspian Sea.,0
There is an interesting part in the map of Atameken.,An interesting part of the Map of Kazakhstan 'Atameken' is a decorative model of the Caspian Sea.,0
There is an interesting part to the map.,An interesting part of the Map of Kazakhstan 'Atameken' is a decorative model of the Caspian Sea.,0
There is an interesting part in the map of a country.,An interesting part of the Map of Kazakhstan 'Atameken' is a decorative model of the Caspian Sea.,0
There is an interesting part in the map of Kazakhstan.,An interesting part of the Map of Kazakhstan 'Atameken' is a decorative model of the Caspian Sea.,0
There is an interesting part in the Map of Kazakhstan.,An interesting part of the Map of Kazakhstan 'Atameken' is a decorative model of the Caspian Sea.,0
There is an interesting part in the map of the country.,An interesting part of the Map of Kazakhstan 'Atameken' is a decorative model of the Caspian Sea.,0
Is there an interesting part in the map?,An interesting part of the Map of Kazakhstan 'Atameken' is a decorative model of the Caspian Sea.,0
There is an interesting part in the Map of the country.,An interesting part of the Map of Kazakhstan 'Atameken' is a decorative model of the Caspian Sea.,0
Is there an interesting part in the map of a country?,An interesting part of the Map of Kazakhstan 'Atameken' is a decorative model of the Caspian Sea.,0
The price for a tour in a language other than English.,The price for a tour in Kazakh language is 200 tenge.,0
What is the price for a tour in a foreign language?,The price for a tour in Kazakh language is 200 tenge.,0
What is the price for a tour in the country?,The price for a tour in Kazakh language is 200 tenge.,0
